,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
42,APHA,4.0,0.8,1.0,0.2,5.0,Unpredictable
798,ETSY,2.0,0.5,2.0,0.5,4.0,Unpredictable
247,EMAN,4.0,1.0,0.0,0.0,4.0,Unpredictable
150,BLU,4.0,1.0,0.0,0.0,4.0,Unpredictable
366,RDFN,3.0,0.75,1.0,0.25,4.0,Unpredictable
192,GAN,4.0,1.0,0.0,0.0,4.0,Unpredictable
177,DRIP,3.0,0.75,1.0,0.25,4.0,Unpredictable
392,PRPL,4.0,1.0,0.0,0.0,4.0,Unpredictable
778,SONN,4.0,1.0,0.0,0.0,4.0,Unpredictable
239,NAT,4.0,1.0,0.0,0.0,4.0,Unpredictable
194,ACST,4.0,1.0,0.0,0.0,4.0,Unpredictable
685,SNE,4.0,1.0,0.0,0.0,4.0,Unpredictable
374,COTY,4.0,1.0,0.0,0.0,4.0,Unpredictable
765,ZN,4.0,1.0,0.0,0.0,4.0,Unpredictable
206,STNG,4.0,1.0,0.0,0.0,4.0,Unpredictable
526,TNA,3.0,0.75,1.0,0.25,4.0,Unpredictable
522,FXI,1.0,0.25,3.0,0.75,4.0,Unpredictable
768,TLSA,4.0,1.0,0.0,0.0,4.0,Unpredictable
881,HPQ,4.0,1.0,0.0,0.0,4.0,Unpredictable
225,FAS,4.0,1.0,0.0,0.0,4.0,Unpredictable
312,ATH,4.0,1.0,0.0,0.0,4.0,Unpredictable
211,TNXP,4.0,1.0,0.0,0.0,4.0,Unpredictable
120,TICK,4.0,1.0,0.0,0.0,4.0,Unpredictable
138,TME,3.0,0.75,1.0,0.25,4.0,Unpredictable
898,ENPH,1.0,0.25,3.0,0.75,4.0,Unpredictable
990,NEM,1.0,0.25,3.0,0.75,4.0,Unpredictable
543,CHWY,4.0,1.0,0.0,0.0,4.0,Unpredictable
428,NXTD,4.0,1.0,0.0,0.0,4.0,Unpredictable
457,FAST,4.0,1.0,0.0,0.0,4.0,Unpredictable
48,IWN,3.0,0.75,1.0,0.25,4.0,Unpredictable
627,CEI,4.0,1.0,0.0,0.0,4.0,Unpredictable
