,User,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
2787,Dwellington,16.0,0.5161290322580645,15.0,0.4838709677419355,31.0,Unpredictable
940,BullishOnAmerica,28.0,0.9032258064516129,3.0,0.0967741935483871,31.0,Bullish
4088,jemeson,1.0,0.03225806451612903,30.0,0.967741935483871,31.0,Bearish
359,Game_Day,27.0,0.8709677419354839,4.0,0.12903225806451613,31.0,Bullish
758,lewis831,31.0,1.0,0.0,0.0,31.0,Bullish
1586,Carlos_27x,31.0,1.0,0.0,0.0,31.0,Bullish
307,VegasVixShort,31.0,1.0,0.0,0.0,31.0,Bullish
304,Sherry___,17.0,0.5483870967741935,14.0,0.45161290322580644,31.0,Unpredictable
2587,GoldMarketMover,30.0,0.967741935483871,1.0,0.03225806451612903,31.0,Bullish
4210,BuyByeBy,0.0,0.0,31.0,1.0,31.0,Bearish
2296,KingThoth,3.0,0.0967741935483871,28.0,0.9032258064516129,31.0,Bearish
335,iPOSTSIGNALS,30.0,0.967741935483871,1.0,0.03225806451612903,31.0,Bullish
784,The_Cheese,29.0,0.9666666666666667,1.0,0.03333333333333333,30.0,Bullish
95,the123chart,17.0,0.5666666666666667,13.0,0.43333333333333335,30.0,Unpredictable
1663,ThunderCrow,22.0,0.7333333333333333,8.0,0.26666666666666666,30.0,Unpredictable
1200,murit100,15.0,0.5,15.0,0.5,30.0,Unpredictable
2544,Kdong,30.0,1.0,0.0,0.0,30.0,Bullish
256,goatballsOG,30.0,1.0,0.0,0.0,30.0,Bullish
326,zapperman,30.0,1.0,0.0,0.0,30.0,Bullish
23,12ubbertoe,27.0,0.9,3.0,0.1,30.0,Bullish
115,PittsburghTrader,29.0,0.9666666666666667,1.0,0.03333333333333333,30.0,Bullish
295,Jimbo426,29.0,0.9666666666666667,1.0,0.03333333333333333,30.0,Bullish
146,trader_guy,26.0,0.8666666666666667,4.0,0.13333333333333333,30.0,Bullish
4441,SarcasmOnly,0.0,0.0,30.0,1.0,30.0,Bearish
560,ATradersTrader,2.0,0.06666666666666667,28.0,0.9333333333333333,30.0,Bearish
1648,JimBobo,9.0,0.3,21.0,0.7,30.0,Unpredictable
2563,MomentumDT,1.0,0.03333333333333333,29.0,0.9666666666666667,30.0,Bearish
91,GTINDICATORS,27.0,0.9310344827586207,2.0,0.06896551724137931,29.0,Bullish
2430,ImNewHereOk,29.0,1.0,0.0,0.0,29.0,Bullish
254,Gatekeeper,3.0,0.10344827586206896,26.0,0.896551724137931,29.0,Bearish
732,Hugh_Jassole,9.0,0.3103448275862069,20.0,0.6896551724137931,29.0,Unpredictable
1414,hiphoppier,21.0,0.7241379310344828,8.0,0.27586206896551724,29.0,Unpredictable
870,profitzer0,29.0,1.0,0.0,0.0,29.0,Bullish
953,Sky0007,20.0,0.6896551724137931,9.0,0.3103448275862069,29.0,Unpredictable
1077,BigBrainBrian,20.0,0.6896551724137931,9.0,0.3103448275862069,29.0,Unpredictable
556,SoCal_Trader81,10.0,0.3448275862068966,19.0,0.6551724137931034,29.0,Unpredictable
1589,SethQue,13.0,0.4642857142857143,15.0,0.5357142857142857,28.0,Unpredictable
1655,RickRollz,2.0,0.07142857142857142,26.0,0.9285714285714286,28.0,Bearish
1803,WhiteKnightInvestor,28.0,1.0,0.0,0.0,28.0,Bullish
2540,JudgementDay808,7.0,0.25,21.0,0.75,28.0,Unpredictable
2111,LostTendies,4.0,0.14285714285714285,24.0,0.8571428571428571,28.0,Bearish
141,Anthony1011,21.0,0.75,7.0,0.25,28.0,Unpredictable
769,QuantumSense,28.0,1.0,0.0,0.0,28.0,Bullish
5380,StoinkTrader,0.0,0.0,28.0,1.0,28.0,Bearish
3064,TommyTrash,2.0,0.07142857142857142,26.0,0.9285714285714286,28.0,Bearish
450,SashaPanda,26.0,0.9285714285714286,2.0,0.07142857142857142,28.0,Bullish
3583,Ivyleagueinvestor22,1.0,0.03571428571428571,27.0,0.9642857142857143,28.0,Bearish
5385,jackstonetwits,0.0,0.0,28.0,1.0,28.0,Bearish
1787,UnfaZZZed,25.0,0.8928571428571429,3.0,0.10714285714285714,28.0,Bullish
