,Security,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
500,$CRON,5.0,1.0,0.0,0.0,5.0,Unpredictable
1318,$305,0.0,0.0,5.0,1.0,5.0,Unpredictable
389,$17,4.0,0.8,1.0,0.2,5.0,Unpredictable
60,$COMPQ,1.0,0.2,4.0,0.8,5.0,Unpredictable
390,$DDS,5.0,1.0,0.0,0.0,5.0,Unpredictable
146,$VBIV,4.0,0.8,1.0,0.2,5.0,Unpredictable
505,$BABY,4.0,1.0,0.0,0.0,4.0,Unpredictable
506,$UFO,4.0,1.0,0.0,0.0,4.0,Unpredictable
504,$FAZ,4.0,1.0,0.0,0.0,4.0,Unpredictable
523,$312,2.0,0.5,2.0,0.5,4.0,Unpredictable
595,$RIOT,4.0,1.0,0.0,0.0,4.0,Unpredictable
341,$FCEL,3.0,0.75,1.0,0.25,4.0,Unpredictable
304,$6,3.0,0.75,1.0,0.25,4.0,Unpredictable
305,$GAN,4.0,1.0,0.0,0.0,4.0,Unpredictable
397,$NAT,4.0,1.0,0.0,0.0,4.0,Unpredictable
308,$ACST,4.0,1.0,0.0,0.0,4.0,Unpredictable
583,$ARKQ,4.0,1.0,0.0,0.0,4.0,Unpredictable
507,$ATH,4.0,1.0,0.0,0.0,4.0,Unpredictable
234,$320+,4.0,1.0,0.0,0.0,4.0,Unpredictable
658,$DBX,4.0,1.0,0.0,0.0,4.0,Unpredictable
1456,$EURUSD,0.0,0.0,4.0,1.0,4.0,Unpredictable
227,$PT,4.0,1.0,0.0,0.0,4.0,Unpredictable
796,$VMW,4.0,1.0,0.0,0.0,4.0,Unpredictable
221,$15000,3.0,0.75,1.0,0.25,4.0,Unpredictable
799,$118,3.0,0.75,1.0,0.25,4.0,Unpredictable
219,$TTOO,4.0,1.0,0.0,0.0,4.0,Unpredictable
821,$AG,3.0,0.75,1.0,0.25,4.0,Unpredictable
856,$6.80,3.0,0.75,1.0,0.25,4.0,Unpredictable
1011,$323.41,3.0,0.75,1.0,0.25,4.0,Unpredictable
1033,$1750,4.0,1.0,0.0,0.0,4.0,Unpredictable
1034,$1780,4.0,1.0,0.0,0.0,4.0,Unpredictable
172,$50,1.0,0.25,3.0,0.75,4.0,Unpredictable
1035,$1525,4.0,1.0,0.0,0.0,4.0,Unpredictable
1040,$269,4.0,1.0,0.0,0.0,4.0,Unpredictable
1041,$271.50,4.0,1.0,0.0,0.0,4.0,Unpredictable
1042,$274.35,4.0,1.0,0.0,0.0,4.0,Unpredictable
160,$FEYE,4.0,1.0,0.0,0.0,4.0,Unpredictable
1068,$NBEV,4.0,1.0,0.0,0.0,4.0,Unpredictable
1094,$KR,2.0,0.5,2.0,0.5,4.0,Unpredictable
144,$311,2.0,0.5,2.0,0.5,4.0,Unpredictable
143,$313,2.0,0.5,2.0,0.5,4.0,Unpredictable
137,$SPR,4.0,1.0,0.0,0.0,4.0,Unpredictable
1111,$AUPH,3.0,0.75,1.0,0.25,4.0,Unpredictable
1307,$270,0.0,0.0,4.0,1.0,4.0,Unpredictable
117,$WBA,4.0,1.0,0.0,0.0,4.0,Unpredictable
116,$3,2.0,0.5,2.0,0.5,4.0,Unpredictable
1240,$TSLAA,4.0,1.0,0.0,0.0,4.0,Unpredictable
96,$ABIO,4.0,1.0,0.0,0.0,4.0,Unpredictable
85,$T,4.0,1.0,0.0,0.0,4.0,Unpredictable
84,$CSCO,3.0,0.75,1.0,0.25,4.0,Unpredictable
1386,$90,0.0,0.0,4.0,1.0,4.0,Unpredictable
1032,$1720,4.0,1.0,0.0,0.0,4.0,Unpredictable
780,$12m,4.0,1.0,0.0,0.0,4.0,Unpredictable
742,$OAS,4.0,1.0,0.0,0.0,4.0,Unpredictable
673,$APPL,4.0,1.0,0.0,0.0,4.0,Unpredictable
