,Word,Bullish Occurences,Bullish Percentages,Bearish Occurences,Bearish Percentages,Total,Naive Sentiment Prediction
722,eod,56.0,0.5283018867924528,50.0,0.4716981132075472,106.0,Unpredictable
218,remember,56.0,0.5283018867924528,50.0,0.4716981132075472,106.0,Unpredictable
160,im,54.0,0.5142857142857142,51.0,0.4857142857142857,105.0,Unpredictable
417,baby,72.0,0.6923076923076923,32.0,0.3076923076923077,104.0,Unpredictable
557,do,60.0,0.5769230769230769,44.0,0.4230769230769231,104.0,Unpredictable
1214,base,74.0,0.7115384615384616,30.0,0.28846153846153844,104.0,Unpredictable
193,set,61.0,0.5922330097087378,42.0,0.4077669902912621,103.0,Unpredictable
168,place,66.0,0.6407766990291263,37.0,0.3592233009708738,103.0,Unpredictable
24,panies,45.0,0.4411764705882353,57.0,0.5588235294117647,102.0,Unpredictable
17,index,56.0,0.5490196078431373,46.0,0.45098039215686275,102.0,Unpredictable
896,less,41.0,0.40594059405940597,60.0,0.594059405940594,101.0,Unpredictable
538,save,34.0,0.33663366336633666,67.0,0.6633663366336634,101.0,Unpredictable
1108,probably,56.0,0.5544554455445545,45.0,0.44554455445544555,101.0,Unpredictable
1864,night,46.0,0.45544554455445546,55.0,0.5445544554455446,101.0,Unpredictable
639,least,46.0,0.45544554455445546,55.0,0.5445544554455446,101.0,Unpredictable
381,,74.0,0.74,26.0,0.26,100.0,Unpredictable
932,analysis,68.0,0.68,32.0,0.32,100.0,Unpredictable
753,miss,52.0,0.52,48.0,0.48,100.0,Unpredictable
32,pany,56.0,0.56,44.0,0.44,100.0,Unpredictable
477,game,47.0,0.47,53.0,0.53,100.0,Unpredictable
610,live,51.0,0.51,49.0,0.49,100.0,Unpredictable
1846,deal,46.0,0.46,54.0,0.54,100.0,Unpredictable
1741,risk,47.0,0.47474747474747475,52.0,0.5252525252525253,99.0,Unpredictable
247,value,57.0,0.5816326530612245,41.0,0.41836734693877553,98.0,Unpredictable
512,idea,68.0,0.6938775510204082,30.0,0.30612244897959184,98.0,Unpredictable
390,bet,53.0,0.5408163265306123,45.0,0.45918367346938777,98.0,Unpredictable
145,join,88.0,0.9072164948453608,9.0,0.09278350515463918,97.0,Bullish
310,actually,42.0,0.4375,54.0,0.5625,96.0,Unpredictable
1941,pandemic,28.0,0.2916666666666667,68.0,0.7083333333333334,96.0,Unpredictable
474,maybe,52.0,0.5416666666666666,44.0,0.4583333333333333,96.0,Unpredictable
484,massive,50.0,0.5208333333333334,46.0,0.4791666666666667,96.0,Unpredictable
209,rippin,88.0,0.9263157894736842,7.0,0.07368421052631578,95.0,Bullish
539,life,47.0,0.49473684210526314,48.0,0.5052631578947369,95.0,Unpredictable
1548,minute,41.0,0.43157894736842106,54.0,0.5684210526315789,95.0,Unpredictable
935,fight,62.0,0.6595744680851063,32.0,0.3404255319148936,94.0,Unpredictable
1746,ask,48.0,0.5106382978723404,46.0,0.48936170212765956,94.0,Unpredictable
285,billion,55.0,0.5851063829787234,39.0,0.4148936170212766,94.0,Unpredictable
946,invest,47.0,0.5053763440860215,46.0,0.4946236559139785,93.0,Unpredictable
2207,release,62.0,0.6666666666666666,31.0,0.3333333333333333,93.0,Unpredictable
926,range,46.0,0.4946236559139785,47.0,0.5053763440860215,93.0,Unpredictable
1176,country,41.0,0.44086021505376344,52.0,0.5591397849462365,93.0,Unpredictable
1034,tax,30.0,0.3225806451612903,63.0,0.6774193548387096,93.0,Unpredictable
1732,pullback,53.0,0.5698924731182796,40.0,0.43010752688172044,93.0,Unpredictable
635,march,36.0,0.391304347826087,56.0,0.6086956521739131,92.0,Unpredictable
510,apple,49.0,0.532608695652174,43.0,0.4673913043478261,92.0,Unpredictable
834,rise,42.0,0.45652173913043476,50.0,0.5434782608695652,92.0,Unpredictable
878,action,55.0,0.5978260869565217,37.0,0.40217391304347827,92.0,Unpredictable
343,near,45.0,0.4945054945054945,46.0,0.5054945054945055,91.0,Unpredictable
412,beat,61.0,0.6703296703296703,30.0,0.32967032967032966,91.0,Unpredictable
540,early,52.0,0.5714285714285714,39.0,0.42857142857142855,91.0,Unpredictable
895,begin,35.0,0.38461538461538464,56.0,0.6153846153846154,91.0,Unpredictable
1902,double,32.0,0.3516483516483517,59.0,0.6483516483516484,91.0,Unpredictable
1397,wave,44.0,0.4835164835164835,47.0,0.5164835164835165,91.0,Unpredictable
776,past,41.0,0.45555555555555555,49.0,0.5444444444444444,90.0,Unpredictable
509,kill,45.0,0.5,45.0,0.5,90.0,Unpredictable
207,guess,44.0,0.4888888888888889,46.0,0.5111111111111111,90.0,Unpredictable
1367,indicator,76.0,0.8444444444444444,14.0,0.15555555555555556,90.0,Bullish
1123,away,35.0,0.3888888888888889,55.0,0.6111111111111112,90.0,Unpredictable
674,push,63.0,0.7,27.0,0.3,90.0,Unpredictable
2637,reality,18.0,0.2,72.0,0.8,90.0,Bearish
1164,reason,43.0,0.48314606741573035,46.0,0.5168539325842697,89.0,Unpredictable
963,far,43.0,0.48314606741573035,46.0,0.5168539325842697,89.0,Unpredictable
131,bring,53.0,0.6022727272727273,35.0,0.3977272727272727,88.0,Unpredictable
617,likely,40.0,0.45977011494252873,47.0,0.5402298850574713,87.0,Unpredictable
607,late,47.0,0.5402298850574713,40.0,0.45977011494252873,87.0,Unpredictable
941,bottom,56.0,0.6436781609195402,31.0,0.3563218390804598,87.0,Unpredictable
103,wrong,43.0,0.5,43.0,0.5,86.0,Unpredictable
1099,election,43.0,0.5,43.0,0.5,86.0,Unpredictable
66,public,68.0,0.7906976744186046,18.0,0.20930232558139536,86.0,Unpredictable
445,must,47.0,0.5465116279069767,39.0,0.45348837209302323,86.0,Unpredictable
1567,rich,44.0,0.5116279069767442,42.0,0.4883720930232558,86.0,Unpredictable
215,boy,47.0,0.5465116279069767,39.0,0.45348837209302323,86.0,Unpredictable
307,america,57.0,0.6705882352941176,28.0,0.32941176470588235,85.0,Unpredictable
759,positive,50.0,0.5882352941176471,35.0,0.4117647058823529,85.0,Unpredictable
1202,stupid,47.0,0.5529411764705883,38.0,0.4470588235294118,85.0,Unpredictable
